journal,items,total,blogs,facebook,news,policies,twitter,wikipedia
HIGH ENERGY CHEMISTRY,535,4,0,0,0,0,4,0
THEORY & PSYCHOLOGY,309,155,16,18,6,0,141,7
JOURNAL OF TAIBAH UNIVERSITY FOR SCIENCE,41,2,0,0,0,0,2,0
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,459,80,7,7,12,4,59,4
SYNAPSE,463,211,6,46,33,2,192,11
SCIENCE OF NATURE,325,311,46,286,49,1,235,48
MOLECULES,11976,5783,112,662,191,11,5539,113
JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,905,11,1,0,1,0,9,0
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,389,47,0,2,1,0,45,0
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,2116,515,19,85,17,3,467,11
HEALTH EDUCATION JOURNAL,503,267,27,39,15,24,236,3
FRONTIERS OF MATHEMATICS IN CHINA,573,15,1,1,0,0,14,0
LEARNING & BEHAVIOR,255,162,10,25,8,0,156,2
INLAND WATER BIOLOGY,406,8,1,1,0,0,7,0
ELECTRONIC JOURNAL OF DIFFERENTIAL EQUATIONS,4,1,0,0,0,0,1,0
IEEE TRANSACTIONS ON INFORMATION THEORY,3425,536,40,31,8,3,493,17
GERMANIC REVIEW,146,15,0,3,0,0,13,1
STUDIES IN SYMBOLIC INTERACTION,110,42,0,3,0,0,41,1
ATMOSPHERIC ENVIRONMENT,5378,1202,182,251,174,174,912,26
SWISS JOURNAL OF PSYCHOLOGY,142,36,5,5,3,1,27,2
APPLIED MATHEMATICS AND COMPUTATION,7117,239,10,38,6,1,202,10
CANCER CELL INTERNATIONAL,848,374,13,50,11,0,350,5
CANADIAN JOURNAL OF EMERGENCY MEDICINE,453,299,50,192,7,8,287,4
EVOLUTIONARY BIOLOGY,315,176,26,35,14,1,147,23
PRZEMYSL CHEMICZNY,1075,1,0,1,0,0,0,0
ELEKTRONIKA IR ELEKTROTECHNIKA,1053,2,0,0,0,0,2,0
ARTHRITIS RESEARCH & THERAPY,2030,1341,43,330,408,31,1191,28
HERMES-ZEITSCHRIFT FUR KLASSISCHE PHILOLOGIE,42,0,0,0,0,0,0,0
ASIAN JOURNAL OF CHEMISTRY,3097,1,1,0,0,0,0,0
CHINESE CHEMICAL LETTERS,2492,28,1,6,0,0,18,4
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,1151,63,1,2,4,0,57,1
MEDICAL TEACHER,1271,917,35,191,25,16,890,6
TREE GENETICS & GENOMES,877,162,22,27,11,1,120,8
PLANTA,1468,627,19,78,22,0,591,16
WILEY INTERDISCIPLINARY REVIEWS-SYSTEMS BIOLOGY AND MEDICINE,221,206,22,66,21,1,195,7
ENGLISH IN AFRICA,18,0,0,0,0,0,0,0
JOURNAL OF SEPARATION SCIENCE,3454,1278,6,43,52,6,1218,5
JOURNAL OF TERRAMECHANICS,248,8,1,3,0,0,5,0
STUDIES IN EDUCATIONAL EVALUATION,275,80,2,1,3,2,78,2
CAMBRIDGE OPERA JOURNAL,114,10,0,1,0,0,8,1
STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,524,34,0,5,1,1,28,2
ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY,64,20,1,1,3,0,19,1
JOURNAL OF EARLY MODERN HISTORY,141,37,2,11,0,0,24,10
OPERATIVE DENTISTRY,626,478,1,419,4,0,402,1
CONFLICT MANAGEMENT AND PEACE SCIENCE,191,141,31,28,22,8,133,14
AKTUELLE UROLOGIE,227,37,0,1,3,0,35,1
FOOD AND AGRICULTURAL IMMUNOLOGY,480,38,1,8,4,0,29,0
NUTRITION RESEARCH AND PRACTICE,526,184,14,41,23,1,154,3
BMC MEDICAL GENETICS,968,545,14,62,23,0,524,18
INTEGRATIVE CANCER THERAPIES,440,329,16,172,23,8,304,4
SYMBOLAE OSLOENSES,62,6,1,1,0,0,3,2
OXFORD ECONOMIC PAPERS-NEW SERIES,342,178,34,14,24,26,161,6
JOURNAL OF EUROPEAN INTEGRATION,357,197,13,20,6,9,172,13
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,875,106,1,8,1,1,103,0
DIGESTIVE ENDOSCOPY,720,157,0,28,4,23,124,2
EVOLUTION EQUATIONS AND CONTROL THEORY,223,15,0,1,1,0,13,0
PORTUGUESE STUDIES,2,0,0,0,0,0,0,0
TOURIST STUDIES,138,54,2,11,1,2,51,0
PLANTS-BASEL,36,36,0,3,2,0,36,1
PLASTICS ENGINEERING,91,0,0,0,0,0,0,0
BIOCONTROL SCIENCE,166,16,0,1,0,0,15,0
LUBRICATION SCIENCE,234,19,0,1,1,0,18,0
SPACE AND CULTURE,212,104,8,21,1,1,94,2
ACTA BOTANICA GALLICA,141,7,0,2,0,0,6,0
GLQ-A JOURNAL OF LESBIAN AND GAY STUDIES,138,72,8,8,1,1,62,4
JOURNAL OF APPLIED BIOMECHANICS,576,217,5,38,7,4,206,0
JOURNAL OF WORLD BUSINESS,443,141,4,7,15,16,117,2
AUSTRALIAN JOURNAL OF FORENSIC SCIENCES,331,58,0,3,4,4,50,1
PHYSIOLOGICAL MEASUREMENT,1208,351,8,40,20,2,322,11
SERIALS REVIEW,236,80,11,9,0,5,72,2
REVISTA ESPANOLA DE CARDIOLOGIA,582,139,6,20,4,8,123,1
WESTERN JOURNAL OF APPLIED FORESTRY,53,2,0,0,1,0,1,0
JOURNAL OF COMPARATIVE ECONOMICS,427,157,20,21,16,25,123,12
APPLIED CATALYSIS A-GENERAL,3421,191,9,21,9,2,167,3
CONSUMPTION MARKETS & CULTURE,179,90,3,17,10,2,80,2
COMPUTATIONAL PARTICLE MECHANICS,174,119,0,5,2,0,117,0
CLINICAL AUTONOMIC RESEARCH,304,162,6,50,13,4,147,2
MODERN DRAMA,155,41,0,11,0,0,35,6
JOURNAL OF NEUROSURGERY-PEDIATRICS,1364,679,36,466,55,7,617,14
MOSCOW UNIVERSITY PHYSICS BULLETIN,607,11,1,0,0,0,11,0
ZEITGESCHICHTE,19,0,0,0,0,0,0,0
COMPUTATIONAL LINGUISTICS,177,72,3,7,2,0,69,4
JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,1619,194,9,20,4,0,185,2
NUCLEAR SCIENCE AND ENGINEERING,563,19,2,4,2,0,13,1
LEARNING CULTURE AND SOCIAL INTERACTION,210,78,3,6,2,1,71,3
NUCLEIC ACIDS RESEARCH,9508,7746,862,857,602,26,7478,747
AMERICAN JOURNAL OF BIOETHICS,184,152,47,34,39,9,147,5
JOURNAL OF PRAGMATICS,955,308,18,44,14,3,268,17
TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,105,30,3,9,1,1,21,5
ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE,97,3,0,2,0,0,2,0
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,463,55,3,5,2,1,45,6
CLINICAL JOURNAL OF ONCOLOGY NURSING,777,319,1,70,19,14,292,4
ACI STRUCTURAL JOURNAL,394,12,0,0,5,0,5,2
JOURNAL OF MEMBRANE SCIENCE,5479,428,11,43,45,11,344,19
REMEDIAL AND SPECIAL EDUCATION,225,87,3,21,14,4,71,1
PSYCHOLOGY & HEALTH,607,491,32,54,45,32,469,7
INTERNATIONAL JOURNAL OF STEEL STRUCTURES,629,8,0,0,1,4,3,0
ARCHIVES OF SEXUAL BEHAVIOR,1143,1048,184,248,265,38,1032,88
NUMERICAL MATHEMATICS-THEORY METHODS AND APPLICATIONS,234,4,0,1,0,0,3,0
DAPHNIS-ZEITSCHRIFT FUR MITTLERE DEUTSCHE LITERATUR,115,3,0,0,0,0,3,0
CANADIAN JOURNAL OF SURGERY,443,92,4,18,12,5,80,5
LINGUA,702,140,5,25,1,0,123,7
EDUCATIONAL ADMINISTRATION QUARTERLY,171,131,3,14,6,12,129,4
HORMONE AND METABOLIC RESEARCH,957,284,7,69,16,4,238,9
JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,811,80,0,4,7,2,70,3
GEROSCIENCE,83,60,13,16,17,0,54,1
JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,378,38,0,3,0,0,36,0
GEOLOGICAL JOURNAL,619,51,4,9,2,0,29,21
ZOOSYSTEMATICS AND EVOLUTION,144,115,31,89,17,0,105,23
AGRICULTURAL AND FOOD SCIENCE,159,1,0,0,0,0,0,1
DRVNA INDUSTRIJA,265,0,0,0,0,0,0,0
ECOLOGICAL CHEMISTRY AND ENGINEERING S-CHEMIA I INZYNIERIA EKOLOGICZNA S,330,7,1,1,0,1,5,0
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,513,229,23,31,24,6,204,8
SOCIO-ECONOMIC PLANNING SCIENCES,157,31,1,1,4,4,23,0
PRODUCTION PLANNING & CONTROL,591,86,2,6,1,1,77,1
CLINICAL NEURORADIOLOGY,287,39,0,3,2,0,37,0
APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,668,384,1,156,3,2,364,3
PALEONTOLOGICAL RESEARCH,192,106,2,7,2,0,65,65
JOURNAL OF CHEMICAL RESEARCH,1299,917,2,240,0,0,912,2
CULTURE HEALTH & SEXUALITY,695,545,89,97,35,24,524,18
COMMENTS ON INORGANIC CHEMISTRY,97,57,14,18,10,0,56,27
COGNITIVE PROCESSING,440,173,9,24,13,1,161,7
BOTANY,674,324,31,209,13,0,148,28
JOURNAL OF ORAL SCIENCE,435,104,3,13,0,0,96,1
NANOMATERIALS,1988,495,9,56,20,2,468,1
ACTA BIOLOGICA COLOMBIANA,210,85,1,68,0,0,38,1
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,269,45,0,1,0,1,41,4
JOURNAL OF TELEMEDICINE AND TELECARE,562,430,7,45,16,46,418,9
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,309,117,6,14,18,3,102,2
EVALUATION AND PROGRAM PLANNING,635,242,6,41,5,35,209,4
CURRENT OPINION IN CHEMICAL ENGINEERING,430,95,3,6,3,0,85,2
HAGUE JOURNAL ON THE RULE OF LAW,112,38,2,4,0,2,35,3
JOURNAL OF LABOR RESEARCH,151,43,3,4,2,6,38,1
MINERALIUM DEPOSITA,399,49,4,8,1,1,33,7
ARCHIVES OF CLINICAL PSYCHIATRY,121,23,2,6,2,1,18,2
ACTA AMAZONICA,293,184,1,8,1,0,181,3
PLASTIC SURGERY,65,22,1,3,2,0,21,1
HEARING RESEARCH,1156,511,10,76,21,3,474,23
AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT,165,60,1,10,3,11,47,0
BEHAVIOR ANALYST,109,47,0,29,3,1,46,1
DOULEUR ET ANALGESIE,61,2,0,1,0,0,1,0
FORESTRY CHRONICLE,324,14,0,2,0,4,7,2
MSPHERE,588,577,92,101,57,4,576,10
Annual Review of Entomology,194,165,59,39,19,14,133,35
JOURNAL OF ANIMAL AND VETERINARY ADVANCES,169,0,0,0,0,0,0,0
Netherlands Yearbook for History of Art-Nederlands Kunsthistorisch Jaarboek,10,0,0,0,0,0,0,0
AMERICAN JOURNAL OF NEURORADIOLOGY,2568,2089,51,472,80,17,2058,10
MEDICINE SCIENCE AND THE LAW,271,108,7,15,7,6,96,3
EVOLUTION PSYCHIATRIQUE,355,58,0,11,2,1,48,0
CULTURAL & SOCIAL HISTORY,208,152,5,12,1,0,149,6
APPLIED BIOLOGICAL CHEMISTRY,265,11,3,1,1,0,9,0
JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,505,15,0,2,1,0,12,0
CLINICAL THERAPEUTICS,1304,1208,39,94,56,56,1191,31
JOURNAL OF CLINICAL MONITORING AND COMPUTING,696,226,8,16,10,5,207,1
ERNAHRUNGS UMSCHAU,175,0,0,0,0,0,0,0
JOURNAL OF PERIODONTAL AND IMPLANT SCIENCE,258,38,0,4,1,1,36,1
COMPARATIVE AND FUNCTIONAL GENOMICS,61,33,1,2,1,0,28,5
INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY,1064,790,15,211,27,13,759,11
INTERACTIVE CARDIOVASCULAR AND THORACIC SURGERY,2359,1084,15,471,16,36,817,9
POLYMER JOURNAL,944,164,1,8,5,0,148,7
ANALYSIS AND MATHEMATICAL PHYSICS,172,41,0,3,0,0,39,0
ENVIRONMENTAL & RESOURCE ECONOMICS,681,220,44,47,19,44,171,5
NUMERISCHE MATHEMATIK,583,55,0,0,0,1,53,4
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,1,1,0,0,0,1,0,0
APPLIED PHYSICS EXPRESS,2878,510,16,97,48,0,447,7
CIRCULATION,3025,2774,633,1751,893,285,2730,152
JOURNAL OF INVESTIGATIVE MEDICINE,379,154,4,50,7,6,137,2
JOURNAL OF CLIMATE,3855,2908,1054,605,325,297,2698,73
INTERNATIONAL JOURNAL OF MANPOWER,410,88,2,11,5,17,70,3
ZEITSCHRIFT FUR PSYCHIATRIE PSYCHOLOGIE UND PSYCHOTHERAPIE,180,8,0,2,1,0,5,0
JOURNAL OF HOUSING AND THE BUILT ENVIRONMENT,268,63,2,7,6,16,45,2
IMPLEMENTATION SCIENCE,1066,1053,66,190,39,110,1052,6
JOURNAL OF MICROPALAEONTOLOGY,128,48,4,4,1,0,38,14
SIAM JOURNAL ON FINANCIAL MATHEMATICS,238,27,0,0,0,0,26,1
EMJ-ENGINEERING MANAGEMENT JOURNAL,6,0,0,0,0,0,0,0
AGGRESSIVE BEHAVIOR,352,275,29,56,36,19,266,15
JOURNAL OF APPLIED GERONTOLOGY,387,233,8,26,21,20,220,1
SYNTHETIC COMMUNICATIONS,2126,35,3,7,0,1,24,3
ATLA-ALTERNATIVES TO LABORATORY ANIMALS,159,4,0,0,0,0,2,2
RISK MANAGEMENT-JOURNAL OF RISK CRISIS AND DISASTER,13,1,0,0,0,0,1,0
COMMUNIST AND POST-COMMUNIST STUDIES,237,151,5,20,6,0,141,7
HISTORIA UNISINOS,253,14,1,8,0,0,8,0
AGING & MENTAL HEALTH,977,664,110,88,84,55,598,5
PREHOSPITAL AND DISASTER MEDICINE,458,357,15,186,12,29,344,10
WOMEN & HEALTH,405,214,54,33,13,7,172,2
AUTOMATIKA,346,3,0,0,0,0,3,0
JOURNAL OF GROUP THEORY,376,26,0,4,0,0,25,0
IDEAS Y VALORES,216,9,0,1,0,0,8,0
MOVIMENTO,168,11,0,2,0,0,9,0
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,341,273,51,204,7,3,260,7
PSYCHIATRISCHE PRAXIS,384,61,0,7,9,2,52,0
SOLID STATE SCIENCES,1473,64,0,9,0,0,55,4
IET SOFTWARE,237,38,0,5,0,0,33,1
HYDROMETALLURGY,1483,63,3,5,6,1,47,5
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,398,82,5,14,3,8,73,0
JOURNAL OF SOLUTION CHEMISTRY,996,21,0,4,0,0,13,4
JOURNAL OF BIOLOGICAL PHYSICS,258,98,1,20,8,0,91,1
PACIFIC ECONOMIC REVIEW,237,191,0,6,0,0,191,1
ADAPTED PHYSICAL ACTIVITY QUARTERLY,150,39,3,8,2,2,35,1
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,873,426,21,69,47,35,382,7
BIOMEDICA,530,222,0,129,2,0,206,1
CARTOGRAPHIC JOURNAL,219,53,2,3,2,0,49,4
LIBYAN JOURNAL OF MEDICINE,119,92,0,81,1,0,80,2
CONTEMPORARY THEATRE REVIEW,270,52,0,4,0,1,46,6
KOREAN JOURNAL OF ORTHODONTICS,280,26,1,8,1,0,18,1
PROGRESS IN NUTRITION,240,0,0,0,0,0,0,0
SOUTHEASTERN EUROPE,4,0,0,0,0,0,0,0
EPIGENETICS & CHROMATIN,347,314,28,48,22,0,310,10
CLINICA TERAPEUTICA,152,13,0,3,0,1,10,1
ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,1126,0,0,0,0,0,0,0
JOURNAL OF AUTOMATION AND INFORMATION SCIENCES,148,0,0,0,0,0,0,0
EDUCATIONAL TECHNOLOGY & SOCIETY,1,0,0,0,0,0,0,0
JOURNAL OF ELECTRONIC PACKAGING,350,36,0,1,0,0,35,1
SUGAR TECH,483,7,1,2,0,0,3,2
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,431,311,28,57,34,30,284,5
COLLEGIAN,359,177,8,48,4,9,164,2
MATHEMATICS,209,22,0,2,0,0,21,0
IEEE TRANSACTIONS ON POWER DELIVERY,2115,67,0,15,2,3,44,5
JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,217,0,0,0,0,0,0,0
GENOME BIOLOGY AND EVOLUTION,1663,1542,141,216,98,7,1509,141
JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY,169,55,3,18,3,1,42,4
CURRENT OPINION IN GENETICS & DEVELOPMENT,673,512,43,72,22,7,487,25
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,216,21,0,1,0,0,19,2
NORWEGIAN JOURNAL OF GEOLOGY,73,3,0,0,0,0,0,3
BULLETIN OF GEOSCIENCES,263,53,0,0,0,0,2,52
JOURNAL OF THE SOUTH AFRICAN VETERINARY ASSOCIATION-TYDSKRIF VAN DIE SUID-AFRIKAANSE VETERINERE VERENIGING,2,1,0,1,0,0,1,0
DUKE MATHEMATICAL JOURNAL,461,258,24,9,3,0,247,10
TRANSFUSION MEDICINE AND HEMOTHERAPY,342,96,4,29,7,1,71,7
JOURNAL OF GENETICS AND GENOMICS,369,206,13,22,7,1,198,9
SMART MATERIALS AND STRUCTURES,3181,197,16,27,30,0,137,24
PHYSICS OF THE SOLID STATE,2786,41,1,3,3,1,33,1
CONFIGURATIONS,80,28,15,3,1,0,14,1
BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,403,19,0,13,0,0,17,2
PSYCHIATRIE DE L ENFANT,121,2,0,0,0,0,2,0
HISTORIAN,98,29,0,4,0,0,23,5
JAMA DERMATOLOGY,721,709,116,562,307,32,696,43
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,228,92,14,6,2,20,80,2
DEMOCRATIZATION,422,298,56,35,52,13,274,17
RHODORA,138,0,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,1872,169,6,16,1,0,162,9
ESPRIT CREATEUR,11,1,0,0,0,0,1,0
IRANIAN JOURNAL OF FISHERIES SCIENCES,45,0,0,0,0,0,0,0
SPORT PSYCHOLOGIST,230,42,0,2,8,1,32,1
JOURNAL OF ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,106,25,0,0,0,0,25,0
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,2087,1722,90,523,86,34,1669,22
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,251,88,2,42,0,0,86,1
JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,713,221,10,122,7,0,187,5
INTERNATIONAL JOURNAL OF SURGERY,2256,1229,16,99,25,38,1173,23
COGNITIVE BEHAVIOUR THERAPY,206,158,33,41,6,6,147,1
JOURNAL OF PUBLIC POLICY,117,99,18,6,6,5,99,2
FISHERIES,294,171,8,43,22,8,149,3
EARTH SCIENCES RESEARCH JOURNAL,111,3,1,0,0,0,2,2
HEMODIALYSIS INTERNATIONAL,678,233,10,49,8,15,206,1
REVISTA BRASILEIRA DE MEDICINA DO ESPORTE,595,66,0,33,1,0,46,0
ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,351,169,0,7,1,2,166,2
PUBLIC POLICY AND ADMINISTRATION,87,69,4,3,0,4,69,0
SECURITY JOURNAL,241,174,11,12,18,14,167,6
AMERICAN JOURNAL OF KIDNEY DISEASES,1354,1066,361,651,129,63,991,18
PRIMARY HEALTH CARE RESEARCH AND DEVELOPMENT,351,160,4,23,11,15,143,0
ARABIAN JOURNAL OF GEOSCIENCES,3845,166,6,34,7,1,112,15
JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,2175,47,2,7,4,0,33,2
DRUG TESTING AND ANALYSIS,1057,557,38,130,73,14,500,95
CO-HERENCIA,97,8,0,1,0,0,8,0
TOPICS IN GERIATRIC REHABILITATION,261,255,2,217,3,2,231,0
ENGLISH LITERARY RENAISSANCE,109,20,1,2,0,1,17,2
TEXAS HEART INSTITUTE JOURNAL,440,86,3,13,8,4,71,4
ANTIVIRAL CHEMISTRY & CHEMOTHERAPY,5,1,0,0,1,0,0,0
JOURNAL OF HUMAN NUTRITION AND DIETETICS,586,521,41,188,54,24,512,8
NEPHROLOGY DIALYSIS TRANSPLANTATION,2596,1659,107,576,82,48,1576,28
BMJ SUPPORTIVE & PALLIATIVE CARE,114,109,45,30,10,1,108,1
JOURNALISM PRACTICE,109,105,86,71,11,0,64,2
HYPERTENSION RESEARCH,919,385,6,125,80,24,251,3
GERIATRIC ORTHOPAEDIC SURGERY & REHABILITATION,9,5,0,0,0,0,5,0
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,476,206,0,39,3,3,177,19
IEEE ANNALS OF THE HISTORY OF COMPUTING,125,60,0,3,2,0,46,19
JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY-REVISTA DE PSICOLOGIA DEL TRABAJO Y DE LAS ORGANIZACIONES,89,22,0,6,4,0,16,0
CATALYSIS SURVEYS FROM ASIA,117,3,0,0,1,0,2,0
WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT,259,102,22,17,17,26,62,5
CUAJ-CANADIAN UROLOGICAL ASSOCIATION JOURNAL,1217,212,6,25,19,3,192,13
ZEITSCHRIFT FUR GERMANISTIK,162,0,0,0,0,0,0,0
CHINESE JOURNAL OF CANCER,468,129,5,19,12,5,108,8
JOURNAL OF INTERNATIONAL MARKETING,133,34,7,5,11,0,17,1
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,213,39,3,6,1,8,23,0
JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,249,200,3,13,5,20,189,2
NAUPLIUS,101,22,2,10,0,0,12,1
POLISH JOURNAL OF ECOLOGY,247,39,0,3,1,0,37,1
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,277,91,12,39,8,0,61,6
SOCIAL PSYCHOLOGY,244,157,37,11,23,8,148,8
JOURNAL OF MEDICINAL FOOD,1099,580,65,253,111,2,491,17
INTERNATIONAL GAMBLING STUDIES,210,145,28,9,11,36,120,1
STUDIES IN CONTINUING EDUCATION,150,56,0,5,0,4,49,2
CHINESE MEDICINE,264,156,4,43,7,0,150,1
ORTHOPAEDIC NURSING,255,206,0,130,2,1,185,3
NARRATIVE,116,43,1,3,0,0,41,1
AUSTRALIAN JOURNAL OF RURAL HEALTH,381,225,7,43,20,28,204,2
CHINESE JOURNAL OF CHEMISTRY,1592,19,2,1,5,0,14,0
INTERNATIONAL JOURNAL OF MICRO AIR VEHICLES,148,18,1,0,2,0,17,1
PHARMACOGENOMICS,989,426,14,25,43,16,386,13
NATIONALITIES PAPERS-THE JOURNAL OF NATIONALISM AND ETHNICITY,11,11,0,1,0,0,11,0
ISLE-INTERDISCIPLINARY STUDIES IN LITERATURE AND ENVIRONMENT,291,88,4,20,2,0,73,2
EXPERT REVIEW OF CLINICAL IMMUNOLOGY,700,359,10,57,13,7,332,10
PROGRESS OF THEORETICAL PHYSICS,117,34,1,2,1,0,30,2
MOSCOW MATHEMATICAL JOURNAL,129,0,0,0,0,0,0,0
JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE,1613,26,2,9,0,0,15,1
AMERICAN LITERATURE,178,102,15,8,1,0,96,4
HISTORIA CRITICA,183,10,4,0,1,0,4,1
CHEMISTRY-AN ASIAN JOURNAL,2892,2754,35,1368,172,0,2604,10
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,5305,165,12,16,9,4,131,7
JOURNAL OF NUCLEAR MATERIALS,5130,290,11,12,27,18,223,18
ADVANCES IN ENGINEERING SOFTWARE,876,64,0,15,2,2,41,9
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,402,230,14,24,27,18,208,15
EXTREMES,196,36,1,18,2,1,35,1
POLAR BIOLOGY,1296,519,79,151,67,13,429,38
SHOCK WAVES,447,197,2,0,1,0,196,1
PLANT METHODS,472,412,21,66,14,3,405,3
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,667,55,1,3,0,0,51,4
NEW MEDIA & SOCIETY,828,779,147,179,131,41,768,48
INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,718,136,1,26,10,2,112,6
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,1377,481,32,46,52,136,373,15
PUBLICATIONS OF THE ENGLISH GOETHE SOCIETY,96,11,0,1,0,0,11,0
EYE AND VISION,120,77,1,5,9,0,69,3
JOURNAL OF INTENSIVE CARE MEDICINE,362,232,25,60,5,13,213,3
JOURNAL OF PSYCHIATRIC RESEARCH,1686,1372,255,733,163,39,1299,40
COMPUTATIONAL MECHANICS,928,66,0,2,4,2,58,3
CALIFORNIA MANAGEMENT REVIEW,191,110,12,9,15,12,99,5
AUSTRALIAN JOURNAL OF PSYCHOLOGY,216,110,6,18,13,7,100,1
COMPUTER PHYSICS COMMUNICATIONS,1996,708,30,113,12,1,662,31
BOLLETTINO DI GEOFISICA TEORICA ED APPLICATA,211,0,0,0,0,0,0,0
LANDBAUFORSCHUNG,105,0,0,0,0,0,0,0
PSYCHONOMIC BULLETIN & REVIEW,1281,811,110,136,96,2,785,31
OCTOBER,61,8,0,2,0,0,8,0
DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS,626,448,17,96,30,44,413,6
HEMATOLOGY-AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM,628,270,13,52,30,12,226,16
JOURNAL OF SURVEYING ENGINEERING,195,15,0,3,0,1,12,0
HIGH VOLTAGE,10,4,0,0,0,0,4,0
ENZYME AND MICROBIAL TECHNOLOGY,934,239,7,15,2,1,222,7
BIOREMEDIATION JOURNAL,170,15,1,2,0,0,12,1
GOVERNMENT AND OPPOSITION,190,166,32,31,20,8,162,7
ARCHIV DER MATHEMATIK,872,93,0,3,1,0,91,2
BULLETIN OF THE MALAYSIAN MATHEMATICAL SCIENCES SOCIETY,479,17,0,1,0,0,16,0
UPDATES IN SURGERY,19,7,0,1,0,0,6,0
FAMILIAL CANCER,560,257,22,40,7,6,226,8
GEOSCIENCE CANADA,98,7,0,0,2,2,4,1
JUNG JOURNAL-CULTURE & PSYCHE,170,17,0,10,0,0,11,1
COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS,1110,8,0,1,0,0,8,0
GAYANA,84,5,0,0,0,0,4,1
HERZOGIA,191,18,1,0,0,0,17,0
CLINICAL TRIALS,509,331,34,26,26,29,311,10
CURRENT OPINION IN RHEUMATOLOGY,637,533,10,100,24,8,517,13
JOURNAL OF EMPIRICAL LEGAL STUDIES,184,126,44,8,16,10,106,11
BRIEFINGS IN BIOINFORMATICS,575,531,70,91,13,1,526,39
TRANSPORTATION PLANNING AND TECHNOLOGY,331,50,0,2,2,14,39,2
REVIEW OF MANAGERIAL SCIENCE,185,25,0,5,2,0,20,2
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,394,150,5,22,8,1,140,6
AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL,114,2,0,0,0,0,0,2
