journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,open,34,3,2,0,1,8,0
EXPERIMENTAL HEAT TRANSFER,open,4,0,1,0,0,0,0
BMJ SEXUAL & REPRODUCTIVE HEALTH,closed,18,15,14,0,0,18,0
PHYTOPARASITICA,open,21,0,0,0,0,1,0
MATERIALS SCIENCE-MEDZIAGOTYRA,closed,418,0,0,0,0,1,1
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,open,36,0,0,0,0,4,0
RIDE-THE JOURNAL OF APPLIED THEATRE AND PERFORMANCE,closed,230,2,9,0,0,41,2
JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS,closed,294,3,4,10,2,33,2
PERSONAL RELATIONSHIPS,open,32,10,8,9,0,20,1
NORTH AMERICAN JOURNAL OF AQUACULTURE,closed,400,1,6,0,0,16,2
PROGRESS IN ELECTROMAGNETICS RESEARCH-PIER,open,1019,0,3,2,0,8,1
DISTRIBUTED COMPUTING,open,85,0,0,0,0,9,0
HISTORY OF THE FAMILY,closed,154,1,10,2,0,55,3
INTERNATIONAL JOURNAL OF HUMANOID ROBOTICS,open,28,1,0,0,0,1,0
EARTHQUAKES AND STRUCTURES,open,18,0,0,0,0,2,0
OECOLOGIA,closed,1776,132,193,54,16,1054,27
CRIMINAL JUSTICE AND BEHAVIOR,closed,502,36,80,27,42,435,3
NEUROPHARMACOLOGY,closed,1966,50,135,118,7,840,68
JOURNAL OF NEUROCHEMISTRY,open,1720,47,303,169,6,833,40
REVIEW OF GENERAL PSYCHOLOGY,closed,197,14,10,14,2,108,16
METEOROLOGY AND ATMOSPHERIC PHYSICS,open,27,4,4,1,0,23,1
ASIAN JOURNAL OF TECHNOLOGY INNOVATION,open,8,0,0,0,0,2,0
EMPIRICA,closed,137,0,4,0,1,18,0
JOURNAL OF MODERN ITALIAN STUDIES,open,12,0,1,0,0,3,0
ECOLOGICAL APPLICATIONS,closed,761,58,108,64,29,517,16
COMPUTER SPEECH AND LANGUAGE,closed,307,0,9,1,0,45,0
CHEMICAL COMMUNICATIONS,closed,17644,307,421,401,5,3785,111
INTERNATIONAL JOURNAL OF METALCASTING,closed,270,0,0,0,0,0,0
KOREAN JOURNAL OF HORTICULTURAL SCIENCE & TECHNOLOGY,closed,195,0,0,0,0,1,0
JOURNAL OF RUBBER RESEARCH,closed,31,0,0,0,0,0,0
ENERGY FOR SUSTAINABLE DEVELOPMENT,closed,467,33,34,15,29,116,4
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,closed,189,0,1,0,0,3,1
GEOMORPHOLOGIE-RELIEF PROCESSUS ENVIRONNEMENT,closed,85,1,1,0,0,10,0
INTERVIROLOGY,closed,90,0,3,1,0,33,0
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,open,25,0,1,0,0,0,0
ACTA BIOCHIMICA POLONICA,closed,240,1,3,1,0,59,1
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,open,598,3,26,20,3,168,10
BIOELECTROCHEMISTRY,closed,571,13,16,8,1,165,4
OBESITY SURGERY,open,299,8,40,14,2,189,1
NUTRITION,closed,1254,112,326,133,25,797,20
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,closed,2073,31,290,62,35,1262,28
KOREAN CIRCULATION JOURNAL,open,711,2,20,4,3,73,7
MOLECULAR OMICS,closed,16,1,0,1,0,15,0
SIGNA VITAE,open,193,0,0,0,0,0,0
JOURNAL OF THE LEARNING SCIENCES,open,10,1,2,0,0,9,0
JOURNAL OF LANGUAGE LITERATURE AND CULTURE,closed,89,0,0,0,0,3,0
RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA,closed,90,0,0,0,0,0,1
BERNOULLI,closed,55,0,0,0,0,4,0
LEX LOCALIS-JOURNAL OF LOCAL SELF-GOVERNMENT,open,10,0,0,0,0,0,0
INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY,open,154,2,39,13,3,111,0
CRUSTACEANA,closed,743,9,11,5,1,32,11
JOURNAL OF COMMUNICATIONS AND NETWORKS,open,67,0,1,0,0,7,1
EARTHQUAKE ENGINEERING AND ENGINEERING VIBRATION,closed,386,0,3,1,0,6,0
JOURNAL OF HEALTH POPULATION AND NUTRITION,open,165,13,10,7,3,67,3
JOURNAL OF VECTOR ECOLOGY,open,243,10,21,8,8,117,6
JOURNAL OF CLINICAL NEUROPHYSIOLOGY,closed,484,8,103,7,4,236,5
JOURNAL OF VISION,open,1781,40,151,45,0,856,19
IEEE TRANSACTIONS ON MOBILE COMPUTING,open,391,2,4,4,1,37,5
EMERGENCY MEDICINE JOURNAL,closed,841,181,304,54,67,695,22
OTOLOGY & NEUROTOLOGY,closed,1464,8,269,12,5,1152,11
FRENCH FORUM,closed,118,0,1,0,0,3,0
CELLULAR AND MOLECULAR BIOLOGY,open,48,0,0,0,0,0,0
PARTICUOLOGY,closed,740,1,7,0,1,14,2
JOURNAL OF APPLIED ECONOMICS,closed,40,0,1,0,4,1,0
ZOOMORPHOLOGY,open,40,2,7,2,0,17,2
INTERNATIONAL JOURNAL OF BIO-INSPIRED COMPUTATION,open,15,0,1,0,0,4,0
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,open,279,2,9,8,1,78,3
HOME CULTURES,closed,79,0,4,1,2,18,0
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,open,464,7,22,5,0,172,7
CLEAN-SOIL AIR WATER,closed,1112,13,9,18,2,427,2
NEPHROLOGY,closed,756,8,41,11,11,222,7
DIABETES THERAPY,open,436,10,19,16,10,329,7
ENERGY STRATEGY REVIEWS,closed,210,7,14,5,10,55,3
ACTA NEUROPSYCHIATRICA,closed,286,9,100,8,2,186,1
EUROPEAN ZOOLOGICAL JOURNAL,open,90,0,6,2,0,17,0
INTERNATIONAL JOURNAL OF OLDER PEOPLE NURSING,open,6,0,1,1,0,6,0
ECOHYDROLOGY & HYDROBIOLOGY,open,2,0,0,0,0,0,0
RUSSIAN JOURNAL OF MARINE BIOLOGY,open,1,0,0,0,0,0,0
INTERFACES,open,37,2,1,0,1,13,1
JOURNAL OF PHARMACOKINETICS AND PHARMACODYNAMICS,closed,240,1,1,0,2,58,1
EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,open,74,12,7,4,0,48,1
JOURNAL OF THE GILDED AGE AND PROGRESSIVE ERA,open,16,1,2,1,0,9,0
NORTHERN HISTORY,open,6,0,0,0,0,3,0
SUCHTTHERAPIE,open,8,0,0,1,0,0,0
EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,open,273,2,22,4,1,109,4
JOURNAL OF PLANT GROWTH REGULATION,open,40,1,8,3,0,4,1
JOURNAL OF PALEOLIMNOLOGY,open,77,4,6,0,0,31,0
HISTORY OF RELIGIONS,closed,83,3,5,1,0,18,4
RUSSIAN JOURNAL OF MATHEMATICAL PHYSICS,closed,276,0,0,0,0,4,2
JOURNAL OF AAPOS,open,119,3,10,12,5,54,2
QUIMICA NOVA,open,1475,2,14,0,0,19,1
ANGIOGENESIS,open,173,3,6,1,1,77,1
INTERNATIONAL JOURNAL OF NUMBER THEORY,closed,542,0,0,0,0,13,2
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,closed,676,32,56,25,28,538,12
BIOSCIENCE,open,511,148,172,168,59,419,37
CHEMSUSCHEM,open,335,13,14,28,0,291,3
ADVANCES IN APPLIED MICROBIOLOGY,closed,119,11,12,2,0,71,3
PACIFIC JOURNAL OF MATHEMATICS,closed,188,0,0,0,0,2,0
STRUCTURAL ENGINEERING INTERNATIONAL,open,20,0,0,0,0,3,0
JOURNAL OF PATIENT SAFETY,closed,226,7,168,14,10,221,2
ETUDES LITTERAIRES,closed,16,0,0,0,0,0,0
JOURNAL OF COMPARATIVE ECONOMICS,closed,275,14,11,10,15,66,6
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,closed,401,2,4,2,0,49,0
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,closed,105,0,5,0,1,16,1
HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,closed,720,11,8,3,3,62,4
OCULAR SURFACE,closed,155,1,16,16,3,72,0
TOP,open,47,0,0,0,0,7,0
SWISS MEDICAL WEEKLY,open,908,20,91,26,2,417,14
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,closed,520,2,181,0,0,238,0
JOURNAL OF MEDICAL INTERNET RESEARCH,open,2174,302,1677,327,196,2169,68
MARKETING INTELLIGENCE & PLANNING,open,14,0,0,0,0,1,0
SOIL SCIENCE AND PLANT NUTRITION,closed,363,2,18,0,3,35,2
IET SCIENCE MEASUREMENT & TECHNOLOGY,open,42,0,0,0,0,7,0
INTERNATIONAL SOCIOLOGY,open,25,2,14,1,1,22,1
SCIENCE OF SINTERING,open,268,0,0,1,0,0,0
PERSPECTIVES IN ECOLOGY AND CONSERVATION,open,79,1,21,4,4,51,1
KOREAN JOURNAL OF PATHOLOGY,open,195,0,5,0,0,12,0
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,closed,253,6,45,10,8,170,1
ANNALES HENRI POINCARE,closed,79,0,0,0,0,8,0
JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,open,496,19,126,18,11,382,36
OPTIK,closed,9570,4,15,3,0,64,8
MOLECULAR CARCINOGENESIS,closed,828,8,35,50,3,350,8
IEEE JOURNAL OF PHOTOVOLTAICS,closed,1250,4,9,13,7,164,14
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY,open,26,0,0,0,0,2,0
INDOGERMANISCHE FORSCHUNGEN,open,12,1,0,0,0,0,0
JOURNAL OF TRANSPORTATION ENGINEERING PART B-PAVEMENTS,closed,80,0,0,1,0,2,0
PFLEGE,open,15,0,0,0,0,2,0
PRIMARY CARE,closed,324,7,15,15,6,133,33
HISTORY OF PHOTOGRAPHY,closed,151,2,2,3,0,28,4
ECOHEALTH,closed,304,27,60,28,18,179,6
JOURNAL OF SOCIAL WORK EDUCATION,open,20,0,0,0,0,6,0
CASTANEA,closed,32,0,1,1,0,6,3
ORAL DISEASES,closed,737,20,49,9,5,213,14
ADDICTIVE BEHAVIORS,closed,1174,82,540,76,55,936,13
AKTUELLE ERNAHRUNGSMEDIZIN,open,19,0,1,0,3,0,0
BULLETIN OF GEOSCIENCES,open,248,0,0,0,0,2,50
JOURNAL OF OCEANOGRAPHY,open,46,1,0,2,0,9,0
MATERIALS & DESIGN,open,618,0,7,6,1,92,3
SOILS AND FOUNDATIONS,open,452,1,6,1,4,24,1
JOURNAL OF MONEY CREDIT AND BANKING,closed,251,11,2,5,14,48,5
IEEE TRANSACTIONS ON PLASMA SCIENCE,closed,3542,3,13,4,0,25,8
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,closed,278,0,0,0,0,58,1
BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES,open,386,0,13,0,0,17,2
THERAPEUTIC DRUG MONITORING,open,80,1,30,1,0,76,2
JOURNAL OF HYDRODYNAMICS,open,43,0,1,0,0,9,0
FISH PHYSIOLOGY AND BIOCHEMISTRY,open,67,0,5,1,0,17,1
FOLKLORE,open,8,0,1,0,0,4,1
REACTION CHEMISTRY & ENGINEERING,closed,46,0,0,0,0,28,0
AGING-US,closed,196,26,9,33,0,87,2
ANNALES ZOOLOGICI,open,2,0,1,0,0,1,0
BIOENGINEERED,open,357,7,9,6,1,119,1
DUKE MATHEMATICAL JOURNAL,open,416,23,9,2,0,247,9
ACS CHEMICAL BIOLOGY,open,1060,74,98,87,5,616,52
CURRENT OPINION IN GASTROENTEROLOGY,open,91,6,15,9,0,68,6
ANNALS OF SURGERY,closed,1727,93,501,166,95,1646,29
DIABETIC MEDICINE,closed,1136,27,184,71,44,771,10
LANCET RESPIRATORY MEDICINE,open,144,56,92,78,21,143,10
SCOTTISH JOURNAL OF POLITICAL ECONOMY,open,81,2,3,1,0,38,0
JOURNAL OF POPULAR MUSIC STUDIES,closed,126,0,9,1,0,54,6
SCHOOL PSYCHOLOGY INTERNATIONAL,open,26,0,3,0,0,17,0
CALLALOO,closed,162,0,1,0,0,18,7
ARKIV FOR MATEMATIK,open,145,0,1,0,0,29,0
SOCIAL SEMIOTICS,open,28,0,2,0,0,14,1
COOPERATION AND CONFLICT,closed,149,7,14,6,2,79,7
MANAGEMENT INTERNATIONAL REVIEW,closed,176,0,3,1,0,19,2
ENVIRONMENT INTERNATIONAL,open,493,52,96,122,80,336,27
JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE,closed,670,42,373,19,33,581,4
IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,open,271,0,5,0,1,23,1
SIGNS,open,36,4,4,3,0,20,3
JOURNAL OF INTEGRATIVE PLANT BIOLOGY,closed,300,8,11,10,0,133,5
INTEGRATION-THE VLSI JOURNAL,closed,505,0,4,0,0,19,2
PROOFTEXTS-A JOURNAL OF JEWISH LITERARY HISTORY,closed,66,0,0,0,0,3,1
SOUTHWESTERN HISTORICAL QUARTERLY,closed,48,0,1,0,0,3,1
BUSINESS & SOCIETY,closed,186,7,7,9,2,161,1
CANADIAN HISTORICAL REVIEW,open,5,1,2,1,0,4,0
AFRICAN JOURNAL OF WILDLIFE RESEARCH,open,12,2,2,0,0,10,0
ADVANCES IN MEDICAL SCIENCES,open,4,0,0,0,0,2,0
CLINICAL RHEUMATOLOGY,open,264,2,32,19,7,154,3
VIRCHOWS ARCHIV,open,139,3,28,3,4,88,1
JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,closed,458,1,1,2,1,46,5
ANNALS OF PLASTIC SURGERY,open,71,2,4,1,0,61,0
ACTA PHYSIOLOGICA HUNGARICA,open,66,1,4,1,0,23,0
ASIAN JOURNAL OF SOCIAL SCIENCE,open,10,0,0,0,0,3,0
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS,open,96,0,2,0,0,27,0
TRENDS IN NEUROSCIENCES,open,226,29,78,42,3,213,12
CANADIAN JOURNAL OF PHYSICS,open,441,13,132,1,0,176,9
EPILEPSIA,closed,637,24,321,38,6,511,13
CYTOKINE,open,326,8,20,5,2,157,9
RESEARCH IN GERONTOLOGICAL NURSING,closed,152,1,6,7,5,109,1
MUSICAE SCIENTIAE,closed,159,12,8,12,0,54,7
COMPUTER STANDARDS & INTERFACES,open,57,0,2,0,0,18,0
MINDS AND MACHINES,closed,111,3,5,4,1,44,4
JOURNAL OF THE INSTITUTE OF BREWING,closed,223,4,7,1,0,26,3
ADVANCES IN PRODUCTION ENGINEERING & MANAGEMENT,closed,7,0,0,0,0,0,0
OPEN FORUM INFECTIOUS DISEASES,open,372,19,40,49,8,291,4
MOLECULAR PLANT-MICROBE INTERACTIONS,closed,703,12,64,7,3,431,10
LINGUISTIC APPROACHES TO BILINGUALISM,closed,97,0,1,0,0,8,3
JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,open,135,23,0,0,0,5,0
JOURNAL OF THE AMERICAN PSYCHIATRIC NURSES ASSOCIATION,open,16,0,2,0,0,12,0
DISCOURSE PROCESSES,closed,180,5,7,5,0,68,0
TURKISH NEUROSURGERY,closed,43,0,0,0,0,6,0
SIAM JOURNAL ON COMPUTING,open,291,7,3,3,0,32,7
JOURNAL OF ENDOVASCULAR THERAPY,closed,610,2,78,48,11,108,2
CURRENT HYPERTENSION REPORTS,closed,484,15,30,13,4,228,4
JOURNAL OF PHYSICS A-MATHEMATICAL AND THEORETICAL,open,3540,65,305,14,0,2690,42
TECHNOLOGY IN SOCIETY,closed,138,3,5,3,9,57,1
MATHEMATICS AND FINANCIAL ECONOMICS,open,77,0,0,0,0,9,0
JAMA ONCOLOGY,closed,180,64,179,134,4,180,3
ISLAM AND CHRISTIAN-MUSLIM RELATIONS,open,11,0,2,0,0,3,0
ENVIRONMENTAL HAZARDS-HUMAN AND POLICY DIMENSIONS,closed,132,4,8,5,6,41,1
SEVENTEENTH CENTURY,open,34,1,1,0,0,10,2
HANDCHIRURGIE MIKROCHIRURGIE PLASTISCHE CHIRURGIE,open,46,0,11,0,0,8,0
AFRICAN JOURNALISM STUDIES,closed,112,21,1,3,0,42,0
PERIODICUM BIOLOGORUM,open,97,0,1,0,0,5,0
TALANTA,open,467,3,22,4,2,135,2
BMC DEVELOPMENTAL BIOLOGY,open,249,43,22,4,0,156,0
JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,open,172,4,11,3,0,26,3
CELL COMMUNICATION AND SIGNALING,open,438,15,16,14,0,216,12
HUMAN & EXPERIMENTAL TOXICOLOGY,open,36,3,4,4,1,14,3
AVIAN DISEASES,closed,552,0,25,3,10,196,3
MARVELS & TALES-JOURNAL OF FAIRY-TALE STUDIES,closed,27,0,0,0,0,1,2
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,open,48,1,2,0,0,14,0
SEMINARS IN PEDIATRIC SURGERY,open,19,0,2,0,0,6,0
SURGICAL PRACTICE,closed,104,2,1,0,0,10,0
NANO LETTERS,closed,5538,731,362,770,4,2236,112
ADVANCES IN DATA ANALYSIS AND CLASSIFICATION,open,57,0,1,0,0,17,0
CADMO,closed,25,0,0,0,0,0,0
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,closed,20,0,0,0,0,8,0
AKTUELLE NEUROLOGIE,open,2,0,0,0,0,0,0
JOURNAL OF ORAL IMPLANTOLOGY,open,14,0,3,0,0,6,0
OUTLOOK ON AGRICULTURE,open,29,1,3,0,1,6,0
ANIMAL WELFARE,open,46,2,4,3,3,18,1
GEOMATICS NATURAL HAZARDS & RISK,closed,89,0,2,0,1,5,1
CELLULAR & MOLECULAR IMMUNOLOGY,closed,59,2,3,7,0,49,0
POE STUDIES-DARK ROMANTICISM,closed,4,0,0,0,0,2,0
BODY IMAGE,closed,477,41,122,78,11,296,8
BMJ-BRITISH MEDICAL JOURNAL,open,1393,1023,1203,960,215,1392,226
POWDER TECHNOLOGY,closed,4838,4,18,5,5,125,17
EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,open,233,7,12,9,8,112,4
INTERNATIONAL JOURNAL OF GREEN ENERGY,open,28,0,0,0,0,2,0
COMPARE-A JOURNAL OF COMPARATIVE AND INTERNATIONAL EDUCATION,closed,268,2,15,8,15,107,1
STATISTICS IN MEDICINE,closed,1314,9,30,12,13,705,11
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,closed,245,12,34,17,5,157,1
NATURAL RESOURCES FORUM,closed,99,9,6,2,9,17,2
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,closed,174,36,21,7,18,156,5
JOURNAL OF PHYCOLOGY,open,116,4,13,2,1,70,7
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,open,28,0,0,0,0,7,1
AFRICAN ZOOLOGY,closed,173,10,16,3,0,105,5
SOIL RESEARCH,closed,502,0,15,2,16,53,1
CALCIFIED TISSUE INTERNATIONAL,closed,625,13,91,38,3,301,4
AMERICAN JOURNAL OF SURGERY,closed,2127,60,143,49,45,1001,11
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,closed,993,254,379,279,137,771,18
BRITISH JOURNAL OF PHARMACOLOGY,open,2425,113,334,130,10,1139,91
ACTA ARCHAEOLOGICA,open,4,0,0,0,0,2,0
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,open,16,2,2,2,0,10,0
EXPERIMENTAL BIOLOGY AND MEDICINE,open,677,16,67,38,3,286,7
INTERNATIONAL JOURNAL OF CLOTHING SCIENCE AND TECHNOLOGY,closed,328,0,4,1,0,40,0
CHINA OCEAN ENGINEERING,closed,487,0,0,1,0,2,0
CLINICS IN LABORATORY MEDICINE,open,20,0,3,2,0,15,1
PRAEHISTORISCHE ZEITSCHRIFT,closed,69,0,1,2,0,4,0
REGULATORY PEPTIDES,closed,197,3,1,0,0,32,0
ZOOLOGY IN THE MIDDLE EAST,closed,323,4,29,3,0,45,15
DEVELOPMENT AND PSYCHOPATHOLOGY,open,393,31,49,42,28,256,17
JOURNAL OF PAEDIATRICS AND CHILD HEALTH,closed,1156,63,293,72,52,732,9
JOURNAL OF SOIL AND WATER CONSERVATION,open,195,3,1,14,6,3,2
INTERNATIONAL ENDODONTIC JOURNAL,closed,821,11,80,5,2,237,3
SOFT ROBOTICS,closed,103,3,5,9,0,55,1
ACS EARTH AND SPACE CHEMISTRY,open,31,4,4,1,0,24,0
GENE,open,466,13,25,6,3,216,22
JOURNAL OF HUMAN LACTATION,open,57,7,36,7,4,52,1
CORPUS LINGUISTICS AND LINGUISTIC THEORY,closed,52,0,0,0,0,4,0
FERROELECTRICS,open,56,0,0,0,0,8,0
PUBLIC PERSONNEL MANAGEMENT,closed,177,5,3,3,0,99,1
TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH,open,8,0,0,0,0,0,0
ATOMIC DATA AND NUCLEAR DATA TABLES,closed,117,0,2,0,0,4,1
FOOD RESEARCH INTERNATIONAL,open,491,13,28,21,3,103,6
ORGANIC GEOCHEMISTRY,closed,795,12,19,8,0,116,7
NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,closed,218,2,14,8,0,71,2
INTERNATIONAL POLITICS,closed,239,19,24,2,4,89,5
AUSTRALIAN VETERINARY JOURNAL,closed,534,13,38,13,4,262,6
BOLETIN DE LA SOCIEDAD ARGENTINA DE BOTANICA,open,137,0,0,0,0,0,0
OSTEOPOROSIS INTERNATIONAL,closed,1640,44,250,107,37,1094,11
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,closed,1622,1,193,37,33,940,7
JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,closed,130,0,0,0,0,1,0
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,closed,153,1,3,4,2,89,4
ENT-EAR NOSE & THROAT JOURNAL,open,139,0,0,1,0,0,0
COMMUNICATIONS IN APPLIED MATHEMATICS AND COMPUTATIONAL SCIENCE,closed,15,0,0,1,0,0,0
INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,closed,774,2,11,6,2,116,1
CONGENITAL HEART DISEASE,closed,665,4,41,3,3,224,2
JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,open,392,20,55,25,16,230,5
AUTOIMMUNITY,open,58,0,3,0,0,22,0
JOURNAL OF PERIODONTAL RESEARCH,open,83,2,4,2,1,39,0
ANIMAL PRODUCTION SCIENCE,closed,1379,7,24,5,8,115,1
PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY,open,63,0,4,1,0,18,1
UNIVERSITY OF PITTSBURGH LAW REVIEW,closed,2,0,0,0,0,0,0
JOURNAL OF GYNECOLOGY OBSTETRICS AND HUMAN REPRODUCTION,closed,199,0,8,1,0,59,3
CHINESE JOURNAL OF POLYMER SCIENCE,closed,1064,0,2,1,0,9,0
NUTRITION & DIETETICS,open,39,1,22,1,0,30,0
JOURNAL OF INFORMATION TECHNOLOGY,open,36,1,6,1,0,20,3
LABMEDICINE,closed,69,0,11,1,0,41,0
LITHOSPHERE,closed,29,3,4,13,0,6,1
EARLY POPULAR VISUAL CULTURE,closed,125,1,5,0,0,22,4
JOURNAL OF FISH BIOLOGY,open,171,13,91,13,3,145,6
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,closed,1946,0,3,1,0,10,3
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,closed,249,0,7,1,0,12,0
ESOPHAGUS,closed,260,0,1,0,1,9,0
JOURNAL OF CHEMOTHERAPY,closed,422,2,5,2,10,173,3
KONSTHISTORISK TIDSKRIFT,closed,109,0,6,0,0,19,1
ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY,closed,112,0,1,0,0,31,0
AUSTRALIAN ARCHAEOLOGY,open,3,0,0,0,0,1,0
TEKNIK DERGI,closed,4,0,0,0,0,0,0
MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,open,45,0,0,0,0,4,0
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,open,718,3,18,60,1,239,6
CHEMISTRY & BIODIVERSITY,closed,1248,5,36,10,2,274,9
REVISTA MATEMATICA COMPLUTENSE,closed,127,0,0,0,0,6,0
IEEE INTERNET COMPUTING,open,53,0,0,1,1,26,0
HIP INTERNATIONAL,closed,698,0,11,16,7,71,2
ARTHRITIS & RHEUMATOLOGY,open,1043,51,281,271,32,754,21
OCEAN SCIENCE JOURNAL,open,10,0,2,0,0,2,0
JOURNAL OF SYSTEMS AND SOFTWARE,open,282,2,7,4,4,124,9
JOURNAL OF CLUSTER SCIENCE,closed,962,0,2,0,0,11,2
IZVESTIYA-PHYSICS OF THE SOLID EARTH,open,4,0,0,0,0,1,1
MIDDLE EASTERN LITERATURES,open,2,0,0,0,0,0,1
EUROPEAN JOURNAL OF EDUCATION,open,35,0,6,1,4,21,0
HONG KONG MEDICAL JOURNAL,open,275,1,14,4,0,42,2
SCHOOL MENTAL HEALTH,open,40,4,3,4,2,21,0
COMMUNICATIONS IN CONTEMPORARY MATHEMATICS,open,217,2,3,0,0,83,0
INORGANICA CHIMICA ACTA,open,257,0,5,2,0,99,0
CURRENT PROTEIN & PEPTIDE SCIENCE,open,58,0,3,2,0,8,6
ADVANCES IN MATHEMATICS OF COMMUNICATIONS,open,294,0,1,0,0,17,0
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,closed,339,2,16,0,2,95,7
ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA,closed,358,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY,open,6,0,1,0,0,2,0
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,open,2,0,0,0,0,0,0
AMERICAN JOURNAL OF MEDICAL QUALITY,open,42,7,11,2,1,35,1
CURRENT OPINION IN GENETICS & DEVELOPMENT,closed,371,13,38,13,3,270,7
SCIENCES SOCIALES ET SANTE,closed,42,0,0,1,0,0,0
CURRENT TOPICS IN DEVELOPMENTAL BIOLOGY,open,87,0,6,1,0,52,5
QUARTERLY REVIEW OF BIOLOGY,open,13,4,4,4,1,10,3
STEM CELLS TRANSLATIONAL MEDICINE,open,981,196,734,149,7,753,27
PEDIATRIC DERMATOLOGY,closed,1624,24,186,30,12,721,14
INTERNATIONAL JOURNAL OF UROLOGY,open,667,7,41,25,14,193,6
INFANCY,closed,177,6,62,9,2,124,2
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,open,13,1,2,0,0,10,0
PHYSICS OF THE EARTH AND PLANETARY INTERIORS,closed,574,7,15,4,0,56,10
EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,open,125,2,20,6,2,69,1
JOURNAL OF PUBLIC HEALTH,open,663,76,148,86,83,604,9
JOURNAL OF CANADIAN PETROLEUM TECHNOLOGY,closed,115,0,0,0,3,0,0
JOURNAL OF AGROMEDICINE,closed,232,4,20,6,16,81,11
JOURNAL OF CYSTIC FIBROSIS,open,447,5,33,16,55,323,3
TISSUE ENGINEERING PART B-REVIEWS,closed,160,5,16,4,0,94,3
AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,closed,33,12,6,6,9,28,4
